시군구명,행정동명,전체세대,1인세대,기초생활수급자,외국인,행정구역코드,행정동코드,총인구수,노령층인구,노령층비율,장애인인구,장애인비율,차상위인구,차상위비율,cluster,1인세대비율,기초생활수급자비율,외국인비율
종로구,청운효자동,5129.0,1952.0,162.0,229.0,1101072,11110515,12024,2915,0.0012720308987869233,228.0,0.0005774490933036166,1,6.489376890031019e-06,1,0.0009987398073025686,0.0005603461694113252,0.0005338144656726995
종로구,사직동,4570.0,2317.0,112.0,404.0,1101053,11110530,9371,2472,0.0010787171121102142,432.0,0.0010941140715226422,74,0.0004802138898622954,1,0.001185491871680354,0.00038739982082758285,0.0009417512844182122
종로구,삼청동,1148.0,563.0,38.0,87.0,1101054,11110540,2498,834,0.00036393611306631015,542.0,0.0013727079323270185,65,0.00042180949785201627,1,0.00028805866368409124,0.00013143922492364418,0.00020280287560491204
종로구,부암동,4144.0,1642.0,135.0,379.0,1101055,11110550,9703,2535,0.0011062086889965183,587.0,0.001486678148110627,182,0.0011810665939856455,1,0.0008401284649543122,0.00046695514117610435,0.0008834745960259961
종로구,평창동,7270.0,2321.0,107.0,430.0,1101056,11110560,18204,4877,0.002128197150388962,505.0,0.0012789990882382737,172,0.0011161728250853353,1,0.001187538469646138,0.00037010518596920864,0.0010023590403461168
종로구,무악동,3017.0,701.0,154.0,96.0,1101057,11110570,8318,1962,0.0008561662516020389,285.0,0.0007218113666295208,187,0.0012135134784358006,1,0.00035866629350363757,0.0005326747536379265,0.00022378248342610983
종로구,교남동,4386.0,1641.0,172.0,326.0,1101058,11110580,10167,2274,0.0009923150133246874,621.0,0.001572788977813798,10,6.489376890031019e-05,1,0.0008396168154628662,0.0005949354391280737,0.0007599280166344979
종로구,가회동,1931.0,917.0,61.0,154.0,1101060,11110600,4210,1210,0.000528012825911553,384.0,0.0009725458413534597,68,0.0004412776285221093,1,0.000469182583655971,0.00021099454527216566,0.00035898440049605116
종로구,종로1·2·3·4가동,4926.0,3932.0,771.0,811.0,1101061,11110615,7226,2705,0.0011803923091659098,425.0,0.0010763853712896362,258,0.001674259237628003,1,0.0020118058003656247,0.002666832695161307,0.0018904957714434903
종로구,종로5·6가동,3511.0,2514.0,276.0,587.0,1101063,11110630,5150,1501,0.0006549977286721001,497.0,0.00125873771654341,50,0.00032446884450155095,1,0.0012862868214952139,0.0009546638441822578,0.001368336643449234
종로구,이화동,4301.0,2762.0,228.0,673.0,1101064,11110640,7347,1839,0.0008024922205383025,304.0,0.0007699321244048222,35,0.00022712819115108568,1,0.0014131758953738187,0.0007886353495418652,0.0015688084515184575
종로구,혜화동,9195.0,5679.0,295.0,3222.0,1101073,11110650,16489,3592,0.0015674562567556186,2571.0,0.006511498328436835,170,0.0011031940713052734,1,0.002905657461921766,0.00102038345664408,0.007510699599988811
종로구,창신1동,2706.0,1623.0,430.0,1176.0,1101067,11110670,4966,1816,0.0007924556131036201,2173.0,0.005503495086617364,993,0.006443951251800802,1,0.0008304071246168385,0.0014873385978201841,0.0027413354219698455
종로구,창신2동,3995.0,1996.0,407.0,1786.0,1101068,11110680,8057,2525,0.0011018449466336127,413.0,0.0010459933137473407,485,0.0031473477916650443,1,0.001021252384926192,0.0014077832774716627,0.004163286618739918
종로구,창신3동,2777.0,944.0,175.0,279.0,1101069,11110690,6708,1816,0.0007924556131036201,489.0,0.0012384763448485463,67,0.00043478825163207826,1,0.00048299711992501267,0.0006053122200430982,0.0006503678424571316
종로구,숭인1동,2970.0,1485.0,240.0,486.0,1101070,11110700,5942,1678,0.0007322359684955257,799.0,0.002023604498024516,50,0.00032446884450155095,1,0.0007597994947972921,0.0008301424732019633,0.0011328988223446809
종로구,숭인2동,6548.0,4691.0,440.0,884.0,1101071,11110710,9649,2405,0.001049480038278748,637.0,0.0016133117212035254,240,0.0015574504536074445,1,0.0024001477643731295,0.0015219278675369327,0.0020606637015487613
중구,소공동,1286.0,775.0,49.0,521.0,1102052,11140520,2209,387,0.00016887682944443887,1084.0,0.002745415864654037,127,0.0008241508650339394,2,0.0003965283558706407,0.0001694874216120675,0.0012144861860937835
중구,회현동,2561.0,1541.0,443.0,607.0,1102054,11140540,4852,1839,0.0008024922205383025,1181.0,0.00299108499645426,491,0.0031862840530052306,2,0.0007884518663182675,0.0015323046484519572,0.0014149579941630068
중구,명동,1457.0,1020.0,81.0,614.0,1102055,11140550,2847,975,0.0004254648803832762,718.0,0.0018184581096140208,293,0.0019013874287790887,2,0.0005218824812749077,0.0002801730847056626,0.0014312754669128275
중구,필동,2431.0,1604.0,94.0,937.0,1102057,11140570,4057,1218,0.0005315038198018773,563.0,0.001425894033026036,91,0.0005905332969928228,2,0.0008206857842793647,0.0003251391353374356,0.0021842102809402596
중구,장충동,2829.0,1911.0,126.0,1084.0,1102058,11140580,4560,1107,0.00048306627957362747,1518.0,0.0038445952791003953,100,0.0006489376890031019,2,0.000977762178153283,0.00043582479843103073,0.0025268772086864903
중구,광희동,3424.0,2419.0,195.0,1648.0,1102059,11140590,5197,1558,0.0006798710601406609,749.0,0.0018969709249316178,1,6.489376890031019e-06,2,0.001237680119807845,0.0006744907594765951,0.0038415992988148854
중구,을지로동,1297.0,1065.0,146.0,230.0,1102060,11140605,1709,649,0.00028320687935256026,766.0,0.0019400263397832034,1205,0.007819699152487378,2,0.0005449067083899772,0.0005050033378645277,0.0005361455332083882
중구,신당동,4808.0,3190.0,366.0,2321.0,1102069,11140615,7588,2002,0.0008736212210536605,2005.0,0.005078006281025225,440,0.0028553258316136483,2,0.0016321618777127016,0.001265967271632994,0.005410407750333343
중구,다산동,6821.0,3276.0,386.0,822.0,1102070,11140625,13972,3854,0.00168178630666374,1821.0,0.004611994732043359,758,0.004918947682643513,2,0.0016761637339770567,0.001335145811066491,0.0019161375143360653
중구,약수동,7779.0,3128.0,734.0,454.0,1102071,11140635,16843,5260,0.002295328482888239,941.0,0.002383243845608348,478,0.0031019221534348274,2,0.0016004396092430505,0.0025388523972093378,0.0010583046612026444
중구,청구동,6205.0,2530.0,601.0,387.0,1102072,11140645,13740,3872,0.0016896410429169699,1725.0,0.004368858271704994,112,0.0007268102116834742,2,0.0012944732133583496,0.002078815109976583,0.0009021231363115052
중구,신당5동,5334.0,2735.0,397.0,679.0,1102065,11140650,10364,2556,0.0011153725479586196,885.0,0.0022414142437443014,204,0.001323832885566328,2,0.0013993613591047772,0.0013731940077549142,0.0015827948567325892
중구,동화동,3989.0,1122.0,158.0,349.0,1102073,11140665,10420,2704,0.0011799559349296193,2176.0,0.005511093101002938,569,0.00369245545042765,2,0.0005740707294023985,0.0005465104615246259,0.0008135425699553367
중구,황학동,7199.0,4129.0,439.0,1488.0,1102067,11140670,12553,2837,0.0012379937083562612,552.0,0.0013980346469455983,404,0.002621708263572532,2,0.002112600750180484,0.0015184689405652579,0.003468628493104702
중구,중림동,5719.0,2509.0,515.0,498.0,1102068,11140680,12105,2885,0.001258939671698207,1429.0,0.003619187518995036,374,0.002427026956871601,2,0.0012837285740379839,0.0017813473904125462,0.0011608716327729447
용산구,후암동,8281.0,4167.0,649.0,766.0,1103051,11170510,17128,4246,0.0018528450072896317,1765.0,0.004470165130179313,927,0.006015652377058755,1,0.0021320434308554318,0.0022448436046169757,0.0017855977323375013
용산구,용산2가동,5057.0,2801.0,428.0,1453.0,1103052,11170520,9576,2839,0.0012388664568288423,1337.0,0.0033861817445041027,116,0.0007527677192435983,1,0.0014331302255402123,0.0014804207438768346,0.0033870411293555995
용산구,남영동,5021.0,3850.0,1305.0,691.0,1103053,11170530,7383,2328,0.0010158792220843764,1166.0,0.0029530949245263906,85,0.0005515970356526367,1,0.0019698505420670536,0.004513899698035675,0.001610767667160853
용산구,청파동,11089.0,6875.0,862.0,1042.0,1103071,11170555,19521,4624,0.0020177944686074556,972.0,0.002461756660925945,750,0.004867032667523264,1,0.003517590253691167,0.0029815950495837183,0.002428972372187567
용산구,원효로1동,9212.0,5007.0,299.0,719.0,1103072,11170560,15954,2859,0.001247593941554653,1360.0,0.0034444331881268364,819,0.005314799672935405,1,0.002561829003670062,0.0010342191645307793,0.001676037558160135
용산구,원효로2동,6094.0,2392.0,342.0,233.0,1103057,11170570,13883,3287,0.001434362114687004,2020.0,0.005115996352953095,520,0.00337447598281613,1,0.0012238655835388032,0.0011829530243127977,0.000543138735815454
용산구,효창동,4694.0,1718.0,89.0,218.0,1103058,11170580,10150,2116,0.0009233678839907821,1288.0,0.0032620808428730627,3,1.9468130670093056e-05,1,0.0008790138263042073,0.0003078445004790614,0.0005081727227801244
용산구,용문동,5320.0,2110.0,339.0,220.0,1103059,11170590,12010,2976,0.001298649727200646,1418.0,0.003591328132914598,628,0.00407532868693948,1,0.0010795804269510345,0.0011725762433977731,0.0005128348578515016
용산구,한강로동,11388.0,6133.0,330.0,2093.0,1103073,11170625,21694,4676,0.0020404859288945636,1432.0,0.00362678553338061,557,0.0036145829277472777,1,0.003137946331038244,0.0011414459006526996,0.004878924352196332
용산구,이촌1동,9152.0,1859.0,48.0,1343.0,1103063,11170630,27615,6247,0.0027260298541070017,1534.0,0.0038851180224901225,815,0.0052888421653752805,1,0.0009511564045980917,0.00016602849464039267,0.003130623700429849
용산구,이촌2동,3598.0,1296.0,122.0,191.0,1103064,11170640,8454,2527,0.0011027176951061938,1293.0,0.0032747442001823525,1035,0.006716505081182105,1,0.0006630977409140004,0.0004219890905443313,0.000445233899316531
용산구,이태원1동,3467.0,1986.0,201.0,1987.0,1103065,11170650,6506,1929,0.0008417659018044511,1116.0,0.002826461351433492,2,1.2978753780062038e-05,1,0.001016135890011732,0.0006952443213066443,0.004631831193413335
용산구,이태원2동,4837.0,2678.0,199.0,1721.0,1103066,11170660,9058,2465,0.0010756624924561805,1094.0,0.002770742579272617,3,1.9468130670093056e-05,1,0.0013701973380923558,0.0006883264673632945,0.0040117672289201566
용산구,한남동,10394.0,5557.0,466.0,2969.0,1103074,11170685,20624,5198,0.0022682732802382253,1003.0,0.0025402694762435415,8,5.191501512024815e-05,1,0.0028432362239653552,0.0016118599688004786,0.006920939513459584
용산구,서빙고동,5129.0,1713.0,230.0,801.0,1103069,11170690,13082,2958,0.0012907949909474164,1821.0,0.004611994732043359,478,0.0031019221534348274,1,0.0008764555788469775,0.0007955532034852148,0.0018671850960866039
용산구,보광동,7072.0,3863.0,781.0,1832.0,1103070,11170700,13740,3832,0.0016721860734653482,821.0,0.0020793232701853915,847,0.005496502225856273,1,0.0019765019854558518,0.0027014219648780553,0.004270515725381596
성동구,왕십리2동,7396.0,2978.0,402.0,674.0,1104052,11200520,16630,3712,0.0016198211651104835,2451.0,0.006207577753013879,809,0.005249905904035094,2,0.0015236921855261523,0.0013904886426132886,0.001571139519054146
성동구,왕십리도선동,12091.0,5007.0,717.0,935.0,1104071,11200535,26596,5504,0.0024018037965431306,1691.0,0.004282747442001823,727,0.004717776999052551,2,0.002561829003670062,0.0024800506386908655,0.002179548145868882
성동구,마장동,10905.0,5246.0,574.0,1138.0,1104054,11200540,22524,5626,0.0024550414533705766,1095.0,0.002773275250734475,792,0.005139586496904568,2,0.002684113232125653,0.0019854240817413623,0.002652754855613677
성동구,사근동,8148.0,6093.0,194.0,2090.0,1104055,11200550,12017,2087,0.0009107130311383564,736.0,0.0018640461959274642,767,0.004977352074653792,2,0.0031174803513804045,0.0006710318325049204,0.004871931149589266
성동구,행당1동,6441.0,2803.0,320.0,536.0,1104056,11200560,13915,3104,0.0013545056294458353,732.0,0.0018539155100800325,633,0.004107775571389635,2,0.0014341535245231043,0.001106856630935951,0.0012494521991291132
성동구,행당2동,9246.0,2469.0,620.0,230.0,1104057,11200570,23617,5412,0.0023616573668044007,3861.0,0.009778644514233614,3,1.9468130670093056e-05,2,0.0012632625943801443,0.002144534722438405,0.0005361455332083882
성동구,응봉동,5930.0,1586.0,171.0,155.0,1104058,11200580,15589,3512,0.0015325463178523754,1491.0,0.00377621314963023,2,1.2978753780062038e-05,2,0.0008114760934333369,0.0005914765121563988,0.0003613154680317398
성동구,금호1가동,6533.0,2214.0,595.0,226.0,1104059,11200590,15520,3838,0.0016748043188830914,1767.0,0.004475230473103029,672,0.004360861270100845,2,0.0011327919740614174,0.002058061548146534,0.0005268212630656335
성동구,금호2·3가동,9943.0,3587.0,546.0,439.0,1104072,11200615,22880,5521,0.00240922215856007,1628.0,0.004123189139904771,1128,0.007320017131954989,2,0.001835286725816759,0.0018885741265344666,0.0010233386481673147
성동구,금호4가동,6298.0,2239.0,350.0,414.0,1104062,11200620,14435,3368,0.0014697084278265378,2042.0,0.00517171512511397,212,0.001375747900686576,2,0.001145583211347567,0.0012106244400861964,0.0009650619597750986
성동구,옥수동,10762.0,3195.0,375.0,769.0,1104073,11200645,26245,5926,0.002585953724257738,1114.0,0.002821396008509776,643,0.004172669340289945,2,0.0016347201251699316,0.0012970976143780676,0.0017925909349445672
성동구,성수1가1동,7636.0,3284.0,382.0,610.0,1104065,11200650,16750,3651,0.0015932023366967605,1245.0,0.00315317597001317,633,0.004107775571389635,2,0.0016802569299086245,0.0013213101031797916,0.0014219511967700727
성동구,성수1가2동,5935.0,2733.0,206.0,526.0,1104066,11200660,12904,2943,0.0012842493774030584,1420.0,0.0035963934758383143,1048,0.006800866980752508,2,0.0013983380601218852,0.0007125389561650184,0.0012261415237722268
성동구,성수2가1동,7925.0,4004.0,640.0,1006.0,1104067,11200670,16135,4445,0.001939683480311449,2125.0,0.005381926856448182,143,0.0009279808952744358,2,0.0020486445637497358,0.002213713261871902,0.002345053940902776
성동구,성수2가3동,5332.0,2796.0,214.0,418.0,1104068,11200690,11045,2803,0.001223156984322383,795.0,0.0020134738121770843,266,0.0017261742527482512,2,0.0014305719780829823,0.0007402103719384173,0.0009743862299178531
성동구,송정동,5458.0,2981.0,566.0,736.0,1104069,11200720,10613,2770,0.001208756634524795,848.0,0.0021477053996555567,1098,0.0071253358252540595,2,0.0015252271340004903,0.0019577526659679636,0.001715665706266842
성동구,용답동,7326.0,4939.0,728.0,1545.0,1104070,11200790,11747,3103,0.0013540692552095447,959.0,0.0024288319319217913,882,0.005723630417007359,2,0.002527036838251735,0.0025180988353792886,0.0036014993426389547
광진구,화양동,18185.0,14951.0,616.0,3739.0,1105053,11215710,22910,3210,0.0014007612984926325,960.0,0.002431364603383649,710,0.004607457591922023,1,0.007649671546608967,0.002130699014551706,0.00871586151593984
광진구,군자동,11400.0,7019.0,714.0,2740.0,1105054,11215730,19812,4384,0.001913064651897726,1073.0,0.0027175564785735995,527,0.003419901621046347,1,0.00359126778045939,0.0024696738577758407,0.006387125047786884
광진구,중곡1동,8504.0,4698.0,700.0,710.0,1105055,11215740,15555,3741,0.001632476017962909,465.0,0.001177692229763955,549,0.0035626679126270298,1,0.0024037293108132517,0.002421248880172393,0.0016550579503389372
광진구,중곡2동,10656.0,5132.0,649.0,698.0,1105056,11215750,21649,4978,0.0021722709482543067,1584.0,0.004011751595583021,162,0.0010512790561850252,1,0.0026257851901008104,0.0022448436046169757,0.0016270851399106734
광진구,중곡3동,8513.0,4365.0,833.0,519.0,1105057,11215760,16327,4252,0.001855463252707375,723.0,0.0018311214669233108,351,0.002277771288400888,1,0.0022333500301617375,0.0028812861674051477,0.0012098240510224063
광진구,중곡4동,13122.0,5336.0,1085.0,717.0,1105058,11215770,28912,7690,0.0033557178770742503,570.0,0.0014436227332590417,847,0.005496502225856273,1,0.0027301616863557917,0.003752935764267209,0.0016713754230887577
광진구,능동,6406.0,3773.0,274.0,471.0,1105059,11215780,11428,2351,0.0010259158295190588,720.0,0.0018235234525377367,604,0.003919583641578735,1,0.0019304535312257127,0.0009477459902389081,0.0010979328093093513
광진구,광장동,11814.0,2263.0,202.0,370.0,1105063,11215810,35017,5553,0.002423186134121367,1394.0,0.003530544017830007,285,0.0018494724136588405,1,0.0011578627991422708,0.0006987032482783191,0.0008624949882047983
광진구,자양1동,11913.0,6559.0,941.0,1814.0,1105064,11215820,22522,5132,0.00223947258064305,1144.0,0.0028973761523655153,557,0.0036145829277472777,1,0.003355909014394235,0.003254850280346031,0.0042285565097392
광진구,자양2동,10887.0,4298.0,633.0,763.0,1105065,11215830,25136,6087,0.0026562099763005153,1558.0,0.003945902137574714,413,0.002680112655582811,1,0.002199069514234856,0.0021895007730701782,0.0017786045297304353
광진구,자양3동,11009.0,3197.0,280.0,632.0,1105066,11215840,28380,6271,0.0027365028357779746,853.0,0.0021603687569648465,696,0.004516606315461589,1,0.0016357434241528236,0.0009684995520689571,0.001473234682555223
광진구,자양4동,10209.0,5897.0,848.0,5844.0,1105067,11215847,17488,5284,0.002305801464559212,826.0,0.0020919866274946813,1054,0.006839803242092694,1,0.003017197051056991,0.0029331700719802704,0.013622758678564436
광진구,구의1동,13077.0,7478.0,706.0,1167.0,1105060,11215850,21824,4547,0.001984193652413084,1442.0,0.0036521122479991897,157,0.00101883217173487,1,0.0038261148970330982,0.002442002442002442,0.0027203558141486476
광진구,구의2동,11517.0,4366.0,776.0,848.0,1105061,11215860,26619,6361,0.002775776517044123,560.0,0.0014182960186404619,831,0.005392672195615777,1,0.0022338616796531833,0.0026841273300196814,0.0019767452702639703
광진구,구의3동,12079.0,4314.0,401.0,621.0,1105062,11215870,28902,6158,0.0026871925470771437,923.0,0.0023376557592949044,298,0.0019338343132292437,1,0.002207255906097992,0.0013870297156416136,0.001447592939662648
동대문구,용신동,20172.0,12368.0,1442.0,2403.0,1106081,11230536,31009,8003,0.0034923030130331895,830.0,0.0021021173133421132,126,0.0008176614881439084,2,0.00632808091020398,0.004987772693155129,0.005601555288259811
동대문구,제기동,13450.0,7697.0,1307.0,2789.0,1106082,11230545,24625,7872,0.0034351379880791285,1688.0,0.0042751494276162495,271,0.0017586211371984062,2,0.00393816613565977,0.004520817551979025,0.006501347357035628
동대문구,전농1동,14752.0,7461.0,1479.0,926.0,1106083,11230560,29459,7914,0.003453465706003331,913.0,0.0023123290446763244,719,0.004665861983932303,2,0.0038174168556785164,0.005115752991107099,0.002158568538047684
동대문구,전농2동,7557.0,2337.0,593.0,627.0,1106084,11230570,18819,5193,0.002266091409056773,728.0,0.0018437848242326006,477,0.0030954327765447963,2,0.0011957248615092739,0.002051143694203184,0.0014615793448767799
동대문구,답십리1동,12852.0,5324.0,656.0,730.0,1106091,11230600,29103,6018,0.002626100153996468,597.0,0.0015120048627292068,548,0.0035561785357369987,2,0.00272402189245844,0.0022690560934186996,0.00170167930105271
동대문구,답십리2동,12521.0,4695.0,1006.0,590.0,1106086,11230610,28748,7890,0.003442992724332358,1011.0,0.0025605308479384054,377,0.0024464950875416943,2,0.0024021943623389135,0.0034796805335048963,0.0013753298460563
동대문구,장안1동,18514.0,8461.0,1170.0,1081.0,1106087,11230650,38328,9506,0.00414817349017787,659.0,0.0016690304933644007,344,0.0022323456501706705,2,0.004329066347124504,0.004046944556859571,0.0025198840060794243
동대문구,장안2동,14127.0,5198.0,956.0,729.0,1106088,11230660,32561,7546,0.0032928799870484125,1111.0,0.002813797994124202,510,0.0033095822139158197,2,0.0026595540565362455,0.003306734184921154,0.0016993482335170215
동대문구,청량리동,9704.0,4882.0,1481.0,965.0,1106080,11230705,19050,7266,0.0031706952008870616,739.0,0.0018716442103130383,175,0.0011356409557554284,2,0.0024978728172393135,0.005122670845050448,0.0022494801719395415
동대문구,회기동,6719.0,4705.0,288.0,2693.0,1106071,11230710,10416,2058,0.0008980581782859307,838.0,0.002122378685036977,429,0.002783942685823307,2,0.0024073108572533735,0.000996170967842356,0.006277564873609518
동대문구,휘경1동,7783.0,4663.0,302.0,2620.0,1106072,11230720,13686,2944,0.0012846857516393489,1149.0,0.002910039509674805,323,0.0020960687354800193,2,0.002385821578612642,0.0010445959454458038,0.006107396943504247
동대문구,휘경2동,12231.0,6470.0,527.0,1117.0,1106073,11230730,24114,5627,0.002455477827606867,809.0,0.0020489312126430958,615,0.0039909667873690765,2,0.0033103722096555423,0.0018228545140726443,0.0026038024373642153
동대문구,이문1동,10767.0,6956.0,575.0,3741.0,1106089,11230740,18002,4385,0.0019135010261340166,793.0,0.0020084084692533685,317,0.002057132474139833,2,0.0035590338624982925,0.001988883008713037,0.008720523651011216
동대문구,이문2동,8724.0,3330.0,726.0,755.0,1106090,11230750,20120,5399,0.002355984501732624,381.0,0.0009649478269678857,219,0.001421173538916793,2,0.00170379280651514,0.002511180981435939,0.0017599559894449263
중랑구,면목2동,12222.0,5946.0,1300.0,709.0,1107052,11260520,24350,6689,0.00291890726654742,920.0,0.0023300577449093304,196,0.0012719178704460798,2,0.0030422678761378445,0.004496605063177301,0.0016527268828032487
중랑구,면목4동,8931.0,3888.0,1282.0,627.0,1107054,11260540,19191,5428,0.0023686393545850498,970.0,0.0024566913180022287,297,0.0019273449363392127,2,0.001989293222742001,0.004434344377687154,0.0014615793448767799
중랑구,면목5동,6451.0,2209.0,535.0,261.0,1107055,11260550,14693,3313,0.001445707844830558,841.0,0.0021299766994225507,185,0.0012005347246557385,2,0.0011302337266041874,0.0018505259298460433,0.000608408626814736
중랑구,면목본동,17740.0,9164.0,1891.0,1496.0,1107071,11260565,34053,8917,0.0038911490650027428,893.0,0.0022616756154391652,332,0.0021544731274902983,2,0.004688755939611034,0.006540830903437136,0.003487277033390211
중랑구,면목7동,10552.0,4686.0,902.0,623.0,1107057,11260570,22045,6294,0.0027465394432126568,693.0,0.0017551413230675716,162,0.0010512790561850252,2,0.0023975895169158997,0.003119952128450712,0.0014522550747340251
중랑구,면목3·8동,12626.0,6207.0,1438.0,787.0,1107072,11260575,25206,7350,0.0032073506367354667,898.0,0.002274338972748455,389,0.0025243676102220665,2,0.003175808393405247,0.00497393698526843,0.0018345501505869627
중랑구,상봉1동,10151.0,3413.0,1165.0,337.0,1107059,11260580,24531,5836,0.00254668004299159,760.0,0.0019248303110120555,577,0.003744370465547898,2,0.001746259714305157,0.0040296499220011965,0.000785569759527073
중랑구,상봉2동,12336.0,7717.0,873.0,664.0,1107060,11260590,20237,4463,0.0019475382165646787,1343.0,0.003401377773275251,273,0.0017715998909784683,2,0.003948399125488689,0.0030196432462721414,0.0015478288436972596
중랑구,중화1동,8991.0,3611.0,762.0,375.0,1107061,11260600,19987,5374,0.0023450751458253603,536.0,0.0013575119035558708,354,0.002297239419070981,2,0.0018475663136114627,0.0026357023524162335,0.0008741503258832415
중랑구,중화2동,13623.0,7454.0,1932.0,999.0,1107062,11260610,25075,7410,0.0032335330909128994,547.0,0.0013853712896363085,157,0.00101883217173487,2,0.0038138353092383942,0.006682646909275804,0.0023287364681529553
중랑구,묵1동,14995.0,5609.0,873.0,432.0,1107064,11260620,34899,8590,0.003748454689735736,1670.0,0.004229561341302806,600,0.0038936261340186116,2,0.0028698419975205468,0.0030196432462721414,0.0010070211754174942
