행정구역코드,행정동코드,시군구명,행정동명,1인세대비율,기초생활수급자비율,외국인비율,노령층비율,장애인비율,차상위비율
1109065,11305630,강북구,수유3동,0.004079381395298862,0.004614208580214246,0.0018415433531940287,0.0028722152232643324,0.007544828284874886,0.0008890446339342497
1109074,11305645,강북구,우이동,0.001998502913588029,0.0028605326055750986,0.0009161095415256371,0.002888797444243373,0.002512410090163104,0.0006229801814429778
1109075,11305660,강북구,인수동,0.003112363856465945,0.005029279816815228,0.0013263774278068385,0.004300468098643269,0.00375088643501165,0.0008371296188140015
1110059,11320511,도봉구,창1동,0.002123857038992296,0.0016153188957721536,0.0007319552062062342,0.0028709061005554606,0.0037483537635497922,1.2978753780062038e-05
1110060,11320512,도봉구,창2동,0.0022251636382986015,0.0030611503699322397,0.0012937424823071975,0.0033474267665847303,0.0038116705500962416,1.2978753780062038e-05
1110061,11320513,도봉구,창3동,0.0013804303279212756,0.0028328611898017,0.0006247260995645566,0.001823171559221875,0.003160773984398744,1.2978753780062038e-05
1110062,11320514,도봉구,창4동,0.0015717872377220752,0.000926992428408859,0.0004359096291737764,0.0028002134742763935,0.0026390436632560024,0.006417993744240678
1110063,11320515,도봉구,창5동,0.0016925365177033283,0.001539222502395307,0.000582766883922161,0.002825086805744954,0.00282899402289535,1.2978753780062038e-05
1110064,11320521,도봉구,도봉1동,0.002376100238275168,0.004199137343613264,0.0008438464479192891,0.0033967370552855612,0.0023401884307567623,7.787252268037223e-05
1110065,11320522,도봉구,도봉2동,0.0021530210600047175,0.0030161843193004666,0.0007482726789560547,0.003975369292606817,0.002033735183871948,0.0011615984633155524
1110051,11320660,도봉구,쌍문1동,0.001751887858711063,0.0031614592521108102,0.0012657696718789337,0.002825959554217535,0.0017323472799108499,0.00028553258316136486
1110052,11320670,도봉구,쌍문2동,0.0017094209509210458,0.002618407717557859,0.000850839650526355,0.002428858999193144,0.002669435720798298,0.002725538293813028
1110053,11320680,도봉구,쌍문3동,0.0018644507468291802,0.002462756003832491,0.0008485085829906664,0.0020993964507937867,0.0033355283152669436,0.00776778413736713
1110054,11320681,도봉구,쌍문4동,0.0008764555788469775,0.0008266835462302885,0.0003123630497822783,0.0020666683830719962,0.001983081754634789,0.0008630871263741256
1110055,11320690,도봉구,방학1동,0.002690764675514451,0.004704140681477792,0.0012098240510224063,0.0037017626464526483,0.002532671461857968,0.0034977741437267193
1110056,11320700,도봉구,방학2동,0.0020578542545957638,0.00565880452566005,0.001184182308129831,0.0027138113754908663,0.0025630635194002632,0.001356279770016483
1110057,11320710,도봉구,방학3동,0.001068835787630669,0.000926992428408859,0.00044756496685221966,0.003316444195808102,0.002682099078107588,1.2978753780062038e-05
1111051,11350560,노원구,월계1동,0.0023259585881134615,0.0024835095656625403,0.0022727908472964277,0.002575044368350475,0.0037052983486982067,0.0018689405443289336
1111052,11350570,노원구,월계2동,0.002264560649139943,0.008159608726180965,0.0009953658377390509,0.003607069437177601,0.0037534191064735084,0.0021609625043803294
1111053,11350580,노원구,월계3동,0.0022471645664307793,0.005219520800257344,0.0009464134194895894,0.0037571821744615467,0.00205652922702867,0.00229075004218095
1111079,11350595,노원구,공릉1동,0.004773689755191068,0.006499323779777038,0.0021049539847268453,0.004167373956574654,0.0025706615337858373,0.005600332256096769
1111056,11350600,노원구,공릉2동,0.0032893945805062565,0.002421248880172393,0.0033497440487845814,0.003478339037471892,0.004277682099078107,0.004049371179379356
1111058,11350611,노원구,하계1동,0.0026257851901008104,0.007602721483741314,0.0015291803034117504,0.0028874883215345014,0.003307668929186506,0.002699580786252904
1111059,11350612,노원구,하계2동,0.0009844136215420808,0.002829402262830025,0.00033567372513916473,0.0020832506040510367,0.00390031405126127,0.008591935002401069
1111060,11350619,노원구,중계본동,0.00093478362087182,0.0013282279571231413,0.00034732906281760795,0.0017306602211282806,0.002264208286901023,0.003355007852146037
1111061,11350621,노원구,중계1동,0.0007613344432716301,0.0018228545140726443,0.00048486204742323794,0.0016080390607306387,0.0034773579171309896,0.0029072408467338967
1111064,11350624,노원구,중계4동,0.0014351768235059963,0.00485979239520316,0.0002657416990685054,0.0023913308148721577,0.003431769830817546,0.005256395280925126
1111078,11350625,노원구,중계2·3동,0.002795141171769432,0.011500932180818867,0.0008042182998125822,0.00438250645506589,0.0008231182251038395,0.0031733052992251685
1111065,11350630,노원구,상계1동,0.0024850815799531637,0.004621126434157596,0.0007715833543129411,0.004554874278400654,0.0017019552223685543,0.00541214032628587
1111066,11350640,노원구,상계2동,0.0017099326004124918,0.0026633737681896323,0.0007622590841701866,0.0021940896600688336,0.0022439469152061593,0.0032317096912354475
1111076,11350665,노원구,상계3·4동,0.002392984671492886,0.006748366521737627,0.0006993202607065932,0.0037270723521575,0.0032063620707121873,0.005820971070357824
1111069,11350670,노원구,상계5동,0.002216977246435466,0.0048286620524580865,0.0007296241386705455,0.0031170211698233253,0.0016791611792118326,0.009403107113654947
1111077,11350695,노원구,상계6·7동,0.0023960545684415615,0.0021652882842684543,0.0007249620035991683,0.0031951321581193317,0.004047208996049032,0.002783942685823307
1111072,11350700,노원구,상계8동,0.0012499597076025485,0.0007159978831366933,0.00028439023935401456,0.0018000437246984762,0.0020160064836389426,0.005548417240976522
1111073,11350710,노원구,상계9동,0.0012305170269276012,0.0011345280467093498,0.0005478008708868314,0.002188416794997057,0.002352851788066052,0.00496437332087373
1111074,11350720,노원구,상계10동,0.0011113026954206859,0.0009131567205221597,0.00029371450949676914,0.0017716793993395913,0.002026137169486374,0.003367986605926099
1112051,11380510,은평구,녹번동,0.0038997924238013204,0.004520817551979025,0.0017716113271233694,0.004281704006482776,0.001425894033026036,0.0021155368661501125
1112052,11380520,은평구,불광1동,0.0036347579872322987,0.004797531709713013,0.0015105317631262413,0.00478702537210722,0.0012258129875392565,0.001998728082129554
1112072,11380530,은평구,불광2동,0.0035232183980970734,0.00564496881777335,0.0014918832228407322,0.00371092650541475,0.003859791307871543,0.005814481693467793
1112055,11380551,은평구,갈현1동,0.0020604125020529935,0.004361706911281982,0.001067628931345399,0.002806322713584461,0.0024642893323878028,0.0042959675012005346
1112056,11380552,은평구,갈현2동,0.002435451579282903,0.0033759127243546505,0.0015734705865898346,0.0031192030410047778,0.0029252355384459527,0.0015509610767174137
1112057,11380560,은평구,구산동,0.0024016827128474677,0.0036491679551169634,0.001433606534448516,0.0038226383099051278,0.0033152669435720797,0.0021869200119404536
1112058,11380570,은평구,대조동,0.004040496033948967,0.00405386241080292,0.001715665706266842,0.0031170211698233253,0.002064127241414244,0.0024919207257719112
1112059,11380580,은평구,응암1동,0.003114410454431729,0.0027083398188214054,0.0015688084515184575,0.0031414581270555954,0.001800729409381015,0.00305649651520461
1112060,11380590,은평구,응암2동,0.0016792336309257325,0.0027325523076231293,0.0010839464040952194,0.002411840403977813,0.002910039509674805,0.003043517761424548
1112073,11380600,은평구,응암3동,0.0032203218991610485,0.004707599608449467,0.0016061055320894756,0.0033613907421460275,0.003831931921791105,0.0021674518812703604
1112074,11380625,은평구,역촌동,0.00432701974915872,0.005676099160518424,0.002132926795155109,0.005192417037621132,0.001101712085908216,0.0028942620929538346
1112065,11380631,은평구,신사1동,0.0022292568342301695,0.0026149487905861844,0.001060635728738333,0.0031536766056717304,0.0019298956539357715,0.005120118366234474
1112066,11380632,은평구,신사2동,0.0016828151773658545,0.002486968492634215,0.0007086445308493478,0.00245809607302461,0.0021603687569648465,0.0046334150994821474
1112067,11380640,은평구,증산동,0.0014699689889243234,0.00158418855302708,0.0005641183436366519,0.0019488473392735503,0.00189443825346976,0.004555542576801776
1112068,11380650,은평구,수색동,0.0009322253734145901,0.001515010013593583,0.0003636465355674285,0.0013392325311756665,0.002930300881369669,0.0021414943737102362
1112071,11380690,은평구,진관동,0.0033037207662667445,0.003413960921043074,0.0013869851837347432,0.005179325810532416,0.0017424779657582818,0.003484795389946657
1113052,11410520,서대문구,천연동,0.001582020227550995,0.0022344668237019513,0.0009767172974535418,0.0019353197379485436,0.0016994225509066965,0.003432880374826409
1113074,11410555,서대문구,북아현동,0.0014239205346941845,0.0016741206542906259,0.0012331347263792927,0.0014361076116321662,0.0017880660520717252,0.0011031940713052734
1113073,11410565,서대문구,충현동,0.0026140172517975526,0.001943916958081264,0.0016294162074463622,0.0021705254513091445,0.005169182453652112,0.0008760658801541876
1113075,11410585,서대문구,신촌동,0.005953553482465516,0.001625695676687178,0.013035329659570898,0.0012633034140611126,0.0018235234525377367,0.002362133187971291
1113076,11410615,서대문구,연희동,0.0053242246079869505,0.002324398924965497,0.008983934282544034,0.0036144877991945404,0.0016664978219025428,0.0025308569871120975
1113062,11410620,서대문구,홍제1동,0.0020558076566299798,0.001992341935684712,0.0010699599988810875,0.002796722480386069,0.0013676425894033025,0.0018559617905488715
1113064,11410640,서대문구,홍제3동,0.0015589960004359254,0.001902409834421166,0.0007016513282422818,0.002135179138169611,0.0010941140715226422,0.003329050344585913
1113065,11410655,서대문구,홍제2동,0.000978273827644729,0.0015495992833103314,0.000477868844816172,0.0017219327364024696,0.0015196028771147807,0.0017780892678684994
1113066,11410660,서대문구,홍은1동,0.0017738887868432402,0.002075356183004908,0.0009510755545609667,0.002800649848512684,0.0015069395198054909,0.0015185141922672584
1113068,11410685,서대문구,홍은2동,0.0026585307575533535,0.0028985808022635217,0.0026877208686490067,0.0031754953174862573,0.0013195218316280012,0.0014601098002569794
1113069,11410690,서대문구,남가좌1동,0.0006743540297258121,0.0007367514449667424,0.0010233386481673147,0.0013003952241458084,0.0027378178502684633,0.0011810665939856455
1113070,11410700,서대문구,남가좌2동,0.002776210140585931,0.003548859072938393,0.003652782828424105,0.0029394168556530756,0.0017981967379191572,0.0008955340108242806
1113071,11410710,서대문구,북가좌1동,0.0008713390839325176,0.0012175422940295462,0.0006899959905638386,0.0018484812649267263,0.004011751595583021,0.0031473477916650443
1113072,11410720,서대문구,북가좌2동,0.0030816648869791854,0.0037391000563805096,0.0016667132880173804,0.003911658654108398,0.0015499949346570762,0.0016288335993977858
1114078,11440555,마포구,아현동,0.0017227238376986416,0.0013213101031797916,0.0016503958152675599,0.0020692866284897395,0.0012308783304629724,0.002985113369414269
1114077,11440565,마포구,공덕동,0.004706152022320198,0.003140705690280761,0.002869544136432721,0.0037065627630518444,0.003540674703677439,0.004003945541149139
1114075,11440585,마포구,도화동,0.001868543942760748,0.0014077832774716627,0.0011049260119164173,0.0022787462619091982,0.0020033431263296523,0.001388726654466638
1114059,11440590,마포구,용강동,0.0018117508492102434,0.0011379869736810246,0.0015291803034117504,0.0018432447740912399,0.0017830007091480093,0.001343301016236421
1114060,11440600,마포구,대흥동,0.002903610863955982,0.0014631261090184602,0.004475649668522197,0.0012606851686433691,0.0026998277783405935,0.002368622564861322
1114061,11440610,마포구,염리동,0.0017360267244762371,0.0011276101927660002,0.0012447900640577359,0.001267667156424018,0.003208894742174045,0.0034588378823865334
1114063,11440630,마포구,신수동,0.002035853326463586,0.0010549727263608284,0.0013636745083778568,0.0020653592603631244,0.0023680478168371997,0.00101883217173487
1114076,11440655,마포구,서강동,0.003021801896480005,0.0009927120408706812,0.0023403918058313984,0.0020396131804219825,0.0015778543207375139,0.001343301016236421
1114066,11440660,마포구,서교동,0.005273571308333798,0.001155281608539399,0.00541506988540472,0.002026085579096976,0.002112247999189545,0.0022518137808407637
1114068,11440680,마포구,합정동,0.002634994880946838,0.0015772706990837303,0.0013963094538774977,0.0016302941467814564,0.0021603687569648465,0.002050643097249802
1114069,11440690,마포구,망원1동,0.0026477861182329877,0.0018609027107610676,0.001407964791555941,0.0020684138800171584,0.0014284267044878938,0.00427000999364041
1114070,11440700,마포구,망원2동,0.0017350034254933451,0.001314392249236442,0.0010373250533814466,0.0018759728418130301,0.0006534292371593557,0.001025321548624901
1114071,11440710,마포구,연남동,0.002629366736540932,0.0007782585686268406,0.0030024149859669736,0.0014557444522652406,0.0007977915104852598,0.0012589391166660177
1114072,11440720,마포구,성산1동,0.002353076011160099,0.00147004396296181,0.0013310395628782156,0.0018092075836605777,0.0009066963833451525,0.0018235149060987165
1114073,11440730,마포구,성산2동,0.004808993570100841,0.005115752991107099,0.0014149579941630068,0.0037558730517526753,0.00048627292067672984,0.005295331542265312
1114074,11440740,마포구,상암동,0.0023581925060745584,0.0023416935598238714,0.0022145141589042117,0.00246595080927784,0.0012055516158443926,0.0013692585237965451
1115051,11470510,양천구,목1동,0.0008754322798640855,0.0008889442317204357,0.0007599280166344979,0.0021299426473341244,0.0018235234525377367,0.001680748614518034
1115052,11470520,양천구,목2동,0.002721975294492656,0.0026529969872746075,0.0011935065782725856,0.0027831948790610623,0.0014765474622631953,0.0009474490259445288
1115053,11470530,양천구,목3동,0.0021033910593344566,0.0025388523972093378,0.0009860415675962964,0.0022473273168962795,0.001489210819572485,0.0012524497397759867
1115054,11470540,양천구,목4동,0.001701746208549356,0.002275973947362049,0.0010886085391665968,0.002132997266988158,0.001175159558302097,0.0014341522926968552
1115071,11470550,양천구,목5동,0.0009117593937567506,0.0001245213709802945,0.0006270571671002452,0.0030742564946668522,0.0012384763448485463,0.0016223442225077548
1115057,11470560,양천구,신월1동,0.0025275484877431806,0.004641879995987645,0.0016713754230887577,0.0027338845903602314,0.0007522034241718164,0.0007332995885735051
1115058,11470570,양천구,신월2동,0.0013717322865666938,0.0018954919804778161,0.0010163454455602487,0.002484714901438333,0.0017728700233005774,0.003679476696647588
1115059,11470580,양천구,신월3동,0.002124368688483742,0.004050403483831246,0.0011095881469877944,0.001938810731838868,0.001172626886840239,0.0017845786447585302
1115060,11470590,양천구,신월4동,0.0008866885686758971,0.0010307602375591045,0.0007086445308493478,0.002081941481342165,0.004976699422550907,0.00554192786408649
1115061,11470600,양천구,신월5동,0.0012560995014999005,0.00191970446927954,0.0008694881908118642,0.0016115300546209633,0.001646236450207679,0.001343301016236421
1115062,11470610,양천구,신월6동,0.0006579812459995406,0.0006433604167315215,0.0003100319822465897,0.0012052656406344707,0.001572788977813798,0.0010902153175252113
1115063,11470611,양천구,신월7동,0.0017964013644668638,0.0026841273300196814,0.000955737689632344,0.002730393596469907,0.0016310404214365313,0.00242053757998157
1115064,11470620,양천구,신정1동,0.0007260306283618569,0.0006641139785615707,0.0005944222216006042,0.0016935684110435847,0.0023959072029176376,0.0015639398304974756
1115065,11470630,양천구,신정2동,0.0008201741347879187,0.0018954919804778161,0.0006107396943504247,0.0017118961289677873,0.001342315874784723,0.0018364936598787784
1115066,11470640,양천구,신정3동,0.0027531859134708615,0.005295617193634191,0.0022681287122250505,0.004782225255508025,0.0027580792219633267,0.0025243676102220665
1115072,11470650,양천구,신정4동,0.004051240673269333,0.004548488967752424,0.0033450819137132042,0.003703944517634101,0.0009801438557390336,0.004250541862970318
1115069,11470670,양천구,신정6동,0.0006175609361753075,0.00014873385978201844,0.00029371450949676914,0.0018606997435428613,0.0015373315773477864,0.002998092123194331
1115070,11470680,양천구,신정7동,0.0016879316722803143,0.00485979239520316,0.001021007580631626,0.003162404090397541,0.0013701752608651606,0.0016028760918376616
1116051,11500510,강서구,염창동,0.002511687353508355,0.0006191479279297976,0.0006830027879567727,0.0030114186046410144,0.002124911356498835,0.002368622564861322
1116052,11500520,강서구,등촌1동,0.004192455932908425,0.0008197656922869388,0.0008858056635616847,0.0018510995103444695,0.0010687873569040624,0.0021155368661501125
1116053,11500530,강서구,등촌2동,0.0015584843509444794,0.0010515137993891534,0.0006270571671002452,0.0020692866284897395,0.0013651099179414446,0.0008695765032641565
1116054,11500535,강서구,등촌3동,0.0035621037594469685,0.014524034354062682,0.00110026387684504,0.004239812079798884,0.0018311214669233108,5.8404392010279176e-05
1116073,11500540,강서구,화곡1동,0.007769909177098773,0.005212602946313994,0.005109700038229507,0.00536085749282928,0.002514942761624962,0.0002076600604809926
1116057,11500550,강서구,화곡2동,0.0017099326004124918,0.0021168633066650064,0.0015758016541255232,0.0018593906208339897,0.0016791611792118326,0.00042829887474204727
1116058,11500560,강서구,화곡3동,0.0019826417793532033,0.0017294634858374236,0.000923102744132703,0.002602535945236779,0.0017044878938304122,0.00014276629158068243
1116059,11500570,강서구,화곡4동,0.002083948378659509,0.002919334364093571,0.001715665706266842,0.002432349993083468,0.0013651099179414446,0.0007268102116834742
1116055,11500590,강서구,화곡본동,0.004479491297609625,0.004465474720432227,0.0023287364681529553,0.0031789863113765816,0.0016031810353560937,0.0015704292073875066
1116061,11500591,강서구,화곡6동,0.0035488008726693725,0.0026322434254445587,0.0012401279289863587,0.002613881675380333,0.0023249924019856146,0.000661916442783164
1116063,11500593,강서구,화곡8동,0.0026733685928052872,0.0027048808918497306,0.00233806073829571,0.0027714127746812176,0.00265423969202715,0.0009344702721644668
1116064,11500603,강서구,가양1동,0.007098625044321637,0.0007886353495418652,0.0011398920249517468,0.0022172174945922322,0.0014613514334920474,0.0011096834481953042
1116065,11500604,강서구,가양2동,0.002373030341326492,0.009076224373674798,0.0005058416552444358,0.002512206478324637,0.0016057137068179515,0.0007917039805837844
1116066,11500605,강서구,가양3동,0.0018792885820811138,0.006174184644439602,0.0006363814372429998,0.0022263813535543337,0.0018463174956944585,0.0004931926436423574
1116067,11500611,강서구,발산1동,0.0015876483719569007,0.003209884229714258,0.0009487444870252781,0.0030389101815273185,0.001413230675716746,0.001064257809965087
1116074,11500615,강서구,우장산동,0.0021525094105132713,0.001719086704922399,0.0011632027003086332,0.0037405999534825063,0.001501874176881775,0.0002790432062713338
1116069,11500620,강서구,공항동,0.0030356164327490468,0.003829032157644056,0.0028578887987542774,0.0027434848235586232,0.002360449802451626,0.006697036950512012
1116070,11500630,강서구,방화1동,0.0027434645731333877,0.002870909386490123,0.0015501599112329482,0.004323159558930377,0.004454969101408165,0.0021479837506002673
1116071,11500640,강서구,방화2동,0.003188087981199951,0.004545030040780749,0.0014825589526979775,0.0029869816474087443,0.001486678148110627,0.0007722358499136913
1116072,11500641,강서구,방화3동,0.0026713219948395032,0.006125759666836154,0.0007948940296698276,0.0032047323913177235,0.0015120048627292068,0.001635322976287817
1117051,11530510,구로구,신도림동,0.001875707035640992,0.0005084622648362026,0.0015338424384831277,0.0030210188378394062,0.002973356296221254,0.002375111941751353
1117052,11530520,구로구,구로1동,0.0012213073360815732,0.00022483025315886505,0.0008251979076337799,0.0018048438412976724,0.002357917130989768,0.0009085127646043427
1117071,11530530,구로구,구로2동,0.0033006508693180685,0.003189130667884209,0.03554644885171613,0.0034237922579355745,0.002750481207577753,0.0026087295097924697
1117054,11530540,구로구,구로3동,0.0042722732535739995,0.0013074743952930922,0.008508396505263551,0.002124706156498638,0.001808327423766589,0.0008501083725940635
1117055,11530550,구로구,구로4동,0.0028621672551488566,0.0026599148412179575,0.020226673007170362,0.002681083307769076,0.0018235234525377367,6.489376890031019e-06
1117056,11530560,구로구,구로5동,0.004301437274586421,0.0014354546932450615,0.013144889833748263,0.0029651629355942175,0.0016791611792118326,0.001343301016236421
1117070,11530595,구로구,가리봉동,0.0022717237420201864,0.00191970446927954,0.01825925200704915,0.0012445393219006192,0.0024870833755445245,0.0007527677192435983
1117061,11530720,구로구,고척1동,0.002004642707485381,0.0016568260194322517,0.0016410715451248053,0.002737811958486846,0.00189443825346976,0.002057132474139833
1117062,11530730,구로구,고척2동,0.0020941813684884287,0.0029539236338103196,0.003044374201609369,0.0032492425634193588,0.002651707020565292,0.0006294695583330089
1117072,11530740,구로구,개봉1동,0.002781326635500391,0.004001978506227798,0.004543250627057167,0.00405042566124879,0.004072535710667612,0.002076600604809926
1117064,11530750,구로구,개봉2동,0.0018143090966674733,0.002082274036948258,0.0025478568165076877,0.003982787654623756,0.0012967277884712795,0.0012784072473361109
1117065,11530760,구로구,개봉3동,0.0014970864119709607,0.0016222367497155032,0.0021981966861543915,0.0026789014365876233,0.00234272110221862,0.0015769185842775377
1117067,11530770,구로구,오류1동,0.003533963037417439,0.0028639915325467734,0.0033310955084990723,0.0024738055455310695,0.001886840239084186,0.0021998987657205157
1117068,11530780,구로구,오류2동,0.0025899697256995913,0.0037183464945504605,0.003979132283420515,0.00424504857063437,0.001585452335123088,0.0023102181728510427
1117069,11530790,구로구,수궁동,0.0016715588885540427,0.0022310078967302765,0.001892826838979179,0.0027980316030949406,0.002345253773680478,0.001025321548624901
1118051,11545510,금천구,가산동,0.006925687516212893,0.002397036391370669,0.011606385260193757,0.0017646974115589425,0.0031861006990173235,0.0010512790561850252
1118052,11545610,금천구,독산1동,0.006796240194877058,0.004520817551979025,0.008974610012401279,0.0037746371439131687,0.003064532468848141,0.0024464950875416943
1118053,11545620,금천구,독산2동,0.0023346566294680433,0.0034312555559014484,0.007778772366593005,0.002293146611706786,0.0015221355485766387,0.0019533024438993366
1118054,11545630,금천구,독산3동,0.0033891662313382245,0.0030369378811305157,0.017322162857702314,0.0029477079661425955,0.0013119238172424274,0.0010577684330750562
1118055,11545640,금천구,독산4동,0.0019079409536020891,0.0023762828295406197,0.00838718099340774,0.0018995370505727194,0.0011143754432175058,0.0014017054082467002
1118057,11545670,금천구,시흥1동,0.003940212733625554,0.004306364079735185,0.009142446874970862,0.0038850398256946752,0.0019881470975585047,0.0007592570961336292
